Cell Typeold,Effect ID,Platform,Experiment ID,Term,platform_id,comparison_id,Estimate Up Down,stage,Group Size,Disease Name,fdr,significant
plasma cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
pDC_LILRA4,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
memory B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
mature B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
Macro_LYVE1,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
epithelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
class switched memory B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
cDC3_LAMP3,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
Tk,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.003079928,TRUE
"CD14-low, CD16-positive monocyte",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.003079928,TRUE
"exhausted CD8-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.004003906,TRUE
"effector memory CD8-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.006256104,TRUE
mast cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.008243336,TRUE
Macro_IL1B,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.011121962,TRUE
"CD14-positive, CD16-negative classical monocyte",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.014751234,TRUE
"naive thymus-derived CD4-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.025024414,TRUE
regulatory T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.031459263,TRUE
fat cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.060929008,TRUE
"CD8-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.060929008,TRUE
macrophage,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.072570801,TRUE
Macro_NLRP3,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.082388071,TRUE
"CD16-positive, CD56-dim natural killer cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.117151331,TRUE
T-helper 17 cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.189470564,TRUE
endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.421623461,TRUE
interferon-stimulated genes CD4-positive T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.445577567,TRUE
cDC1_CLEC9A,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.445577567,TRUE
Macro_ISG15,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.630885769,TRUE
"effector memory RA CD8-positive, alpha-beta T cell (TEMRA)",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.956317608,TRUE
Macro_INHBA,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
CD8+ resident-memory T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.002001953,TRUE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.003079928,TRUE
fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.004003906,TRUE
cancer-associated fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.082388071,TRUE
Tfh-Th1,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.249208648,TRUE
Macro_SPP1,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.363688151,TRUE
gamma-delta T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.398453251,TRUE
